mismatch_type,review_id,sentiment,rating,word_count,matched_token_count,mean_happiness,short_text
positive_label_low_labMT_score,test_pos_2843_7,pos,7,36,31,4.747096774193548,Goof: Factual error<br /><br />When Charlie walks out of the room to commit suicide he takes his gun with a silencer. After a few seconds we hear a loud bang from the same gun being fired.
positive_label_low_labMT_score,train_pos_2469_10,pos,10,17,14,4.762857142857143,"This is the definitive movie version of Hamlet. Branagh cuts nothing, but there are no wasted moments."
positive_label_low_labMT_score,test_pos_1778_10,pos,10,73,63,4.907936507936507,A brutally straightforward tale of murder and capital punishment by the state. So painfully slow and accurate in the description of capital punishment (from the preparation of the gallow to the victim p***ing in his own pants before dying) it has the power to change your mind about death penalty. The whole Dekalog originated from this story: the Dekalog screenwriter was the powerless lawyer unsucc...
positive_label_low_labMT_score,train_pos_8584_8,pos,8,52,46,4.934782608695652,"Sergeant Ryker is accused of being a traitor during the Korean War, a hanging offense. A long drawn out court-marshal ensues during which time the Sgt. must remain in a military jail. After much investigation the defense attorney attempts to exonerate the doomed non-com with an eleventh hour ploy. Very good picture."
positive_label_low_labMT_score,test_pos_11323_7,pos,7,144,130,4.953923076923076,"The BBC and HBO teamed up to create ""Dirty War"", a 90 minute TV movie about a terrorist ""dirty bomb"" attack in London. The film gets down to business quickly as it packs both the terrorist and the government anti-terrorist efforts into the film leaving little room for human interest subplots. On the terrorist side we follow the bomb from the smuggling of radioactive materials to assembly to deploy..."
negative_label_high_labMT_score,test_neg_8621_2,neg,2,8,6,6.006666666666667,"More suspenseful, more subtle, much, much more disturbing...."
negative_label_high_labMT_score,train_neg_3935_1,neg,1,31,24,5.953333333333333,"Cool idea... botched writing, botched directing, botched editing, botched acting. Sorta makes me wish I could play God and strike everyone involved in making this film with several bolts of lightning."
negative_label_high_labMT_score,train_neg_3155_1,neg,1,23,19,5.864736842105264,"Great movie - especially the music - Etta James - ""At Last"". This speaks volumes when you have finally found that special someone."
negative_label_high_labMT_score,train_neg_9250_4,neg,4,51,45,5.846222222222222,"Disappointing, predictable film in which a woman (Mc Teer) travels with her daughter from state to state because she can't maintain relationships and find happiness. In this genre 'Anywhere but here' starring Susan Sarandon and Natalie Portman gave a much better insight into a mother/daughter relationship. With Better acting as well."
negative_label_high_labMT_score,test_neg_4910_3,neg,3,38,37,5.808108108108108,"Independent film that would make Hollywood proud. The movie substitutes good looks for good acting, a cryptic plot for a good story line, and self-absorption for character development. May be I missed something, go see it for yourself."
